Brand_ID,Classification,Price,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,free_chlorides
Wi02-1958,Red,18.99,7.2,0.3724,0.5871,2.116,0.09752,4.5,11.64,1.0856945,3.4944,0.5995,10.716,0.031923939
Wi02-1959,Red,13.99,7.392,0.9457,0.103,1.932,0.10304,9.9,21.34,1.085967,3.3904,0.545,8.93,0.042793398
Wi02-1960,Red,25.99,6.72,0.245,0.4635,2.116,0.0414,36,114.46,1.0797976,3.2864,0.5232,11.186,0.025406269
Wi02-1961,Red,25.99,8.832,0.3038,0.3708,2.024,0.07268,9.9,30.07,1.0858035,3.4632,0.9374,11.28,0.024874215
Wi02-1962,Red,15.99,6.432,0.3038,0.1854,7.084,0.03956,51.3,194,1.0852694,3.2968,0.4796,8.836,0.028523938
Wi02-1963,Red,18.99,6.624,0.2548,0.2781,3.864,0.02852,18,77.6,1.0800701,3.2448,0.4251,10.81,0.035328426
Wi02-1964,Red,25.99,6.72,0.2156,0.2884,9.752,0.03588,28.8,113.49,1.0829695,3.172,0.5995,10.81,0.024286368
Wi02-1965,Red,14.99,6.624,0.1862,0.5047,6.072,0.03312,44.1,166.84,1.082588,3.328,0.2943,10.81,0.030453958
Wi02-1966,Red,20.99,7.008,0.2156,0.412,13.57,0.03864,40.05,125.615,1.089782,3.4944,0.4469,8.554,0.020585335
Wi02-1967,Red,11.99,6.912,0.4606,0.1648,5.428,0.04416,12.6,121.25,1.0837652,3.2136,0.5341,9.212,0.040837389
Wi02-1968,Red,8.99,7.104,0.2156,0.2884,8.28,0.04232,19.8,117.37,1.0842012,3.224,0.5995,10.152,0.043824527
Wi02-1969,Red,8.99,7.488,0.2744,0.3193,1.932,0.04232,25.2,201.76,1.0838306,3.3592,0.6976,9.212,0.039159844
Wi02-1970,Red,13.99,5.568,0.2842,0.0515,0.736,0.03496,9.9,29.1,1.081716,3.4944,0.3815,8.648,0.037722908
Wi02-1971,Red,18.99,9.504,0.4312,0.4738,2.024,0.08372,9,39.77,1.0860542,3.3072,0.7521,11.186,0.0331549
Wi02-1972,Red,15.99,11.52,0.3724,0.5768,1.932,0.08556,5.4,23.28,1.0891825,3.2656,0.7739,10.246,0.026522896
Wi02-1973,Red,13.99,9.6,0.343,0.4841,1.84,0.05612,5.4,10.67,1.0854765,3.3592,0.5668,11.28,0.034458454
Wi02-1974,Red,14.99,7.008,0.2254,0.4223,13.432,0.04416,65.7,216.31,1.0885067,3.2864,0.7739,8.836,0.028070104
Wi02-1975,Red,14.99,6.816,0.3577,0.1442,1.104,0.0506,21.6,81.48,1.083569,3.276,0.4687,8.366,0.037170199
Wi02-1976,Red,9.99,8.064,0.2156,0.2884,17.296,0.02576,49.5,126.1,1.08782,3.0784,0.3815,10.904,0.040061768
Wi02-1977,Red,17.99,5.184,0.1813,0.1957,6.532,0.04416,32.4,106.7,1.0838742,3.3904,0.4469,8.93,0.030252277
Wi02-1978,Red,24.99,5.952,0.2058,0.2884,5.244,0.02576,40.5,117.37,1.0809312,3.3384,1.1772,11.421,0.022194602
Wi02-1979,Red,10.99,8.928,0.196,0.3399,1.564,0.046,25.2,172.66,1.084986,3.2864,0.4687,8.46,0.076177286
Wi02-1980,Red,15.99,7.872,0.6272,0.2781,1.84,0.0874,4.5,74.69,1.0872423,3.2552,0.6758,8.554,0.02693959
Wi02-1981,Red,19.99,6.336,0.1372,0.4532,1.472,0.03864,42.3,135.8,1.08237,3.4528,0.5559,9.588,0.034458454
Wi02-1982,Red,13.99,7.2,0.294,0.2163,6.026,0.02392,29.7,138.71,1.0817596,3.0368,0.3815,10.434,0.037583581
Wi02-1983,Red,18.99,7.104,0.1764,0.3708,12.052,0.05152,64.8,158.11,1.09,3.5568,0.3815,8.554,0.034580755
Wi02-1984,Red,14.99,7.296,0.4704,0.2884,9.568,0.04508,51.3,198.85,1.0872532,3.3696,0.4905,8.742,0.042457764
Wi02-1985,Red,12.99,6.72,0.294,0.2781,1.38,0.06992,21.6,140.65,1.0828496,3.224,0.5668,9.494,0.041313623
Wi02-1986,Red,8.99,8.256,0.4802,0.2987,1.84,0.1012,17.1,129.01,1.086948,3.0472,2.1582,9.212,0.045442528
Wi02-1987,Red,13.99,6.144,0.3724,0.2472,6.624,0.04324,36.9,146.47,1.0856836,3.2344,0.654,8.648,0.043304359
Wi02-1988,Red,11.99,6.144,0.2352,0.2987,10.488,0.04692,28.8,161.02,1.086512,3.4424,0.4905,8.93,0.038720261
Wi02-1989,Red,12.99,7.488,0.4018,0.7004,1.564,0.42964,16.2,66.93,1.087057,3.2032,1.4279,8.742,0.044176529
Wi02-1990,Red,9.99,7.296,0.2254,0.2678,14.076,0.06164,28.8,161.02,1.088474,3.1512,0.4796,8.648,0.083479422
Wi02-1991,Red,11.99,7.872,0.7154,0.2163,1.564,0.06808,4.5,12.61,1.086512,3.328,0.5668,8.93,0.043476715
Wi02-1992,Red,8.99,7.2,0.5978,0.2678,1.748,0.06716,21.6,85.36,1.0857708,3.432,0.5777,9.212,0.040837389
Wi02-1993,Red,10.99,7.968,0.6615,0.2678,1.932,0.07728,9.9,41.71,1.087384,3.4424,0.5777,8.648,0.089795918
Wi02-1994,Red,18.99,4.896,0.3822,0.2163,1.564,0.02484,13.5,69.84,1.078446,3.64,0.4905,11.75,0.029273303
Wi02-1995,Red,17.99,7.296,0.294,0.2781,9.752,0.03588,27.9,115.43,1.0879835,3.4008,0.327,8.742,0.030657662
Wi02-1996,Red,18.99,6.144,0.1666,0.2781,6.164,0.03312,79.2,216.31,1.084332,3.4112,0.3815,9.588,0.026358923
Wi02-1997,Red,18.99,7.2,0.245,0.4841,3.772,0.03772,85.5,158.11,1.0811056,3.0368,0.6431,10.622,0.027452713
Wi02-1998,Red,24.99,9.216,0.3724,0.3193,2.3,0.08832,14.4,47.53,1.088038,3.3176,0.763,9.4,0.023238912
Wi02-1999,Red,19.99,8.544,0.5782,0.515,1.84,0.31004,24.3,78.57,1.086076,3.1616,1.7549,8.93,0.035328426
Wi02-2000,Red,13.99,8.64,0.5194,0.5047,1.748,0.15732,5.4,24.25,1.087275,3.4008,0.6649,8.836,0.033270322
Wi02-2001,Red,19.99,8.256,0.6321,0.2575,1.84,0.07636,7.2,27.16,1.0879835,3.4112,0.654,9.4,0.029273303
Wi02-2002,Red,19.99,7.296,0.2646,0.2575,12.788,0.046,40.5,193.03,1.088256,3.4736,0.545,9.212,0.035583044
Wi02-2003,Red,24.99,6.048,0.2156,0.2884,2.208,0.03864,34.2,98.94,1.0790782,3.2656,0.4033,10.904,0.021043409
Wi02-2004,Red,24.99,4.896,0.245,0.3708,1.196,0.0322,36,75.66,1.078119,3.3592,0.6976,11.374,0.022194602
Wi02-2005,Red,9.99,5.952,0.3332,0.309,10.212,0.04324,25.2,229.89,1.087929,3.3072,0.5341,8.178,0.039606955
Wi02-2006,Red,35.99,6.816,0.3136,0.3502,13.34,0.03588,41.4,145.5,1.08455,3.5152,0.545,11.75,0.017016905
Wi02-2007,Red,14.99,6.048,0.1666,0.3296,3.864,0.0368,33.3,113.49,1.0810838,3.3696,0.4687,10.622,0.027891598
Wi02-2008,Red,14.99,6.144,0.4116,0.7622,11.776,0.06992,43.2,202.73,1.087602,3.2448,0.6322,8.46,0.02693959
Wi02-2009,Red,16.99,7.68,0.2548,0.2884,4.416,0.046,30.6,145.5,1.0838633,3.2552,0.545,9.4,0.029369046
Wi02-2010,Red,9.99,6.432,0.5292,0.2781,6.532,0.04508,7.2,172.66,1.0845718,3.2864,0.4142,8.836,0.062062389
Wi02-2011,Red,15.99,7.392,0.5684,0.103,1.656,0.09384,25.2,105.73,1.0852585,3.2032,0.5341,9.212,0.02710902
Wi02-2012,Red,16.99,6.432,0.3038,0.3399,1.84,0.03036,10.8,71.78,1.0797976,3.4216,0.7085,11.75,0.029854878
Wi02-2013,Red,19.99,7.104,0.245,0.3708,1.886,0.046,27.9,97,1.08128,3.3176,0.4796,10.152,0.028250329
Wi02-2014,Red,20.99,6.912,0.245,0.2884,13.248,0.0506,49.5,198.85,1.088474,3.2448,0.4142,8.46,0.022069032
Wi02-2015,Red,13.99,7.008,0.2254,0.3811,1.656,0.02944,54,151.32,1.08128,3.2344,0.3815,10.434,0.034095417
Wi02-2016,Red,15.99,5.472,0.1176,0.2678,5.06,0.03128,18.9,96.03,1.0826316,3.2136,0.6213,9.306,0.028894977
Wi02-2017,Red,17.99,13.728,0.3038,0.7622,1.656,0.069,5.4,14.55,1.090872,2.9744,0.8611,7.896,0.026277505
Wi02-2018,Red,23.99,5.76,0.2352,0.2781,1.748,0.04416,36,164.9,1.083242,3.7856,0.5886,9.4,0.020251524
Wi02-2019,Red,19.99,5.376,0.1764,0.3193,1.38,0.03496,14.4,81.48,1.081716,3.4736,0.6322,9.494,0.032032988
Wi02-2020,Red,19.99,7.008,0.2548,0.5459,11.684,0.04324,54.45,159.565,1.088256,3.1824,0.4905,8.554,0.030555556
Wi02-2021,Red,15.99,6.528,0.2744,0.2987,10.948,0.04784,45.9,144.53,1.0850296,3.1408,0.6322,9.776,0.035455393
Wi02-2022,Red,18.99,6.816,0.735,0.0103,2.024,0.05428,9.9,17.46,1.0817378,3.5256,0.436,12.032,0.029083218
Wi02-2023,Red,10.99,7.2,0.2744,0.4223,1.196,0.04048,9.9,122.22,1.0822937,3.4112,0.4905,9.682,0.04147422
Wi02-2024,Red,19.99,5.952,0.1666,0.309,1.012,0.03404,12.6,76.63,1.08237,3.64,0.5886,9.682,0.026035503
Wi02-2025,Red,14.99,5.28,0.3136,0.1339,1.196,0.03404,40.5,151.32,1.0811056,3.3904,0.4142,10.058,0.038288038
Wi02-2026,Red,20.99,6.432,0.343,0.3296,8.28,0.02944,26.1,109.61,1.0811492,3.2552,0.7085,12.126,0.025955578
Wi02-2027,Red,14.99,5.376,0.6027,0,1.472,0.08188,14.4,57.23,1.083787,3.7232,0.5668,9.306,0.044893378
Wi02-2028,Red,19.99,6.144,0.245,0.3296,5.06,0.04508,36.9,170.72,1.08455,3.3176,0.7412,8.648,0.026522896
Wi02-2029,Red,8.99,5.856,0.3234,0.3296,7.176,0.04784,46.8,177.51,1.0862613,3.5256,0.7085,8.93,0.046571492
Wi02-2030,Red,15.99,7.776,0.245,0.3502,9.292,0.046,27,117.37,1.0869916,3.2968,0.5341,9.494,0.028523938
Wi02-2031,Red,9.99,6.816,0.2744,0.3605,3.22,0.02576,31.5,88.27,1.0793398,3.0784,0.3597,11.374,0.044712539
Wi02-2032,Red,22.99,6.72,0.147,0.2884,13.524,0.04692,26.1,144.53,1.0877328,3.0784,0.4251,8.46,0.021577258
Wi02-2033,Red,13.99,6.816,0.5194,0.0721,1.564,0.06532,13.5,23.28,1.084659,3.4216,0.7194,10.152,0.028432295
Wi02-2034,Red,9.99,7.104,0.4018,0.3502,4.324,0.03864,17.1,123.19,1.084877,3.38,0.4578,9.776,0.053368006
Wi02-2035,Red,8.99,5.76,0.3136,0.309,6.716,0.16008,41.4,154.23,1.0847571,3.3072,0.5341,8.836,0.049166625
Wi02-2036,Red,17.99,6.816,0.3626,0.309,5.704,0.0368,44.1,134.83,1.0793289,3.2968,0.2943,12.784,0.032925851
Wi02-2037,Red,8.99,7.392,0.294,0.4326,13.156,0.0414,40.5,206.61,1.089019,3.3072,0.6867,8.648,0.043133026
Wi02-2038,Red,15.99,6.432,0.4508,0.2163,3.68,0.03128,10.8,85.36,1.0792744,3.3904,0.5886,12.22,0.030352865
Wi02-2039,Red,15.99,5.376,0.1764,0.2781,1.564,0.0276,27.9,99.91,1.0779228,3.484,0.4033,12.126,0.027627015
Wi02-2040,Red,20.99,5.856,0.3724,0.4326,4.6,0.01472,27.9,109.61,1.0791763,3.276,0.3379,11.656,0.021456884
Wi02-2041,Red,14.99,8.928,0.49,0.3708,1.656,0.07728,5.4,16.49,1.0867736,3.4008,0.8393,10.152,0.029465259
Wi02-2042,Red,24.99,6.624,0.2744,0.2472,1.932,0.03128,44.1,117.37,1.0778138,3.0992,0.4687,12.408,0.020142056
Wi02-2043,Red,14.99,8.736,0.7448,0.7004,1.564,0.38088,16.2,62.08,1.0862068,3.016,1.4497,8.554,0.033620226
Wi02-2044,Red,13.99,6.048,0.1568,0.412,1.472,0.03036,53.1,143.56,1.080626,3.5776,0.5777,10.716,0.046763737
Wi02-2045,Red,17.99,5.952,0.294,0.2163,1.012,0.02944,27.9,107.67,1.077901,3.0888,0.4578,11.468,0.029561946
Wi02-2046,Red,25.99,6.048,0.3332,0.3399,4.232,0.03128,17.1,77.6,1.080953,3.5152,0.6322,11.28,0.020585335
Wi02-2047,Red,14.99,6.24,0.4018,0.2266,4.416,0.04784,44.1,137.74,1.084114,3.2656,0.6758,8.648,0.04734767
Wi02-2048,Red,11.99,7.584,0.245,0.3605,6.164,0.03588,19.8,62.08,1.0830458,3.0472,0.5341,10.058,0.042625086
Wi02-2049,Red,10.99,6.816,0.3528,0.309,1.472,0.0736,31.5,67.9,1.0866537,3.5776,0.545,8.836,0.046001815
Wi02-2050,Red,13.99,7.2,0.2548,0.2678,16.882,0.07728,29.7,134.83,1.091199,3.2968,0.4251,8.272,0.043476715
Wi02-2051,Red,24.99,8.544,0.1176,0.4635,1.656,0.069,9,20.37,1.0851168,3.5464,0.8284,11.186,0.024071286
Wi02-2052,Red,15.99,7.488,0.2156,0.3914,9.476,0.05428,25.2,96.03,1.086403,3.2448,0.5123,9.4,0.032252768
Wi02-2053,Red,9.99,7.104,0.588,0.2678,6.716,0.0644,32.4,117.37,1.088038,3.5048,0.5341,8.836,0.037307232
Wi02-2054,Red,9.99,7.776,0.7693,0.5356,1.84,0.11224,33.3,148.41,1.086621,3.3384,0.7521,8.742,0.040369343
Wi02-2055,Red,13.99,7.488,0.588,0.2678,1.84,0.0736,27.9,127.07,1.0858798,3.3384,0.5668,9.306,0.044176529
Wi02-2056,Red,13.99,8.256,0.784,0.1133,2.116,0.07728,10.8,30.07,1.087711,3.536,0.5232,9.306,0.046763737
Wi02-2057,Red,8.99,6.048,0.1862,0.3399,9.292,0.05796,56.7,129.01,1.0852149,2.9744,0.4469,8.554,0.036629549
Wi02-2058,Red,14.99,6.528,0.4998,0.0103,1.932,0.06808,8.1,24.25,1.085422,3.4632,0.6104,8.93,0.029083218
Wi02-2059,Red,17.99,6.72,0.2646,0.4944,5.612,0.03864,54,178.48,1.0852694,3.328,0.545,8.836,0.030863418
Wi02-2060,Red,11.99,6.912,0.588,0.206,9.108,0.0644,18.9,168.78,1.086839,3.1512,0.5886,8.554,0.04147422
Wi02-2061,Red,15.99,7.968,0.7448,0.2987,3.864,0.069,10.8,15.52,1.086185,3.588,0.7412,10.81,0.029178028
Wi02-2062,Red,13.99,9.792,0.4018,0.4429,2.024,0.1012,9.9,35.89,1.0870352,3.2864,0.7303,10.152,0.046763737
Wi02-2063,Red,16.99,6.528,0.3136,0.3811,3.128,0.02116,17.1,84.39,1.079318,3.2656,0.5777,11.938,0.030555556
Wi02-2064,Red,8.99,6.432,0.2352,0.2678,11.592,0.04876,39.6,176.54,1.0878418,3.5568,0.4578,9.118,0.052211638
Wi02-2065,Red,9.99,7.104,0.245,0.5047,1.012,0.03864,31.5,151.32,1.080953,3.2552,0.5995,10.622,0.045627819
Wi02-2066,Red,13.99,7.2,0.588,0.0309,1.656,0.0874,22.5,96.03,1.08455,3.484,0.5886,9.494,0.043133026
Wi02-2067,Red,17.99,7.008,0.1519,0.5047,1.196,0.03588,30.6,131.92,1.081934,3.2656,0.8393,9.87,0.02710902
Wi02-2068,Red,14.99,7.2,0.2352,0.3193,12.052,0.046,23.4,174.6,1.0887356,3.172,0.5777,8.554,0.026196464
Wi02-2069,Red,14.99,10.272,0.6566,0.2266,2.484,0.09844,15.3,32.98,1.090436,3.4112,1.0682,9.306,0.029369046
Wi02-2070,Red,6.99,6.72,0.5586,0.103,7.636,0.08648,20.7,182.36,1.086948,3.536,0.5123,8.648,0.071951387
Wi02-2071,Red,12.99,7.104,0.3528,0.2987,2.392,0.08004,23.4,69.84,1.0861305,3.5256,0.7412,10.34,0.041798236
Wi02-2072,Red,18.99,7.104,0.1568,0.309,12.604,0.05152,29.7,162.96,1.0880925,3.016,0.4796,8.178,0.025955578
Wi02-2073,Red,16.99,6.624,0.2842,0.309,7.544,0.02392,31.5,108.64,1.0806696,3.12,0.4033,11.562,0.035840426
Wi02-2074,Red,15.99,6.048,0.245,0.2369,13.708,0.03588,42.3,137.74,1.0867845,3.2656,0.3815,9.118,0.030252277
Wi02-2075,Red,9.99,6.432,1.0192,0.0824,2.116,0.06164,17.1,31.04,1.0861632,3.6608,0.6213,10.34,0.071951387
Wi02-2076,Red,30.99,5.184,0.4508,0.1545,1.932,0.02392,26.1,126.1,1.0785877,3.5256,0.8393,12.596,0.016765737
Wi02-2077,Red,15.99,6.048,0.7448,0,2.668,0.06624,23.4,50.44,1.0832311,3.6504,0.654,10.81,0.033856571
Wi02-2078,Red,17.99,5.856,0.2744,0.2575,6.348,0.05152,39.6,194.97,1.085095,3.3176,0.436,8.554,0.028988869
Wi02-2079,Red,14.99,8.352,0.8232,0,1.288,0.0598,21.6,32.01,1.084986,3.4008,0.5995,9.118,0.037445024
Wi02-2080,Red,14.99,8.736,0.5096,0.3399,1.196,0.0644,8.1,29.1,1.087602,3.3696,0.654,8.742,0.041153957
Wi02-2081,Red,10.99,7.296,0.2842,0.2678,5.98,0.03864,28.8,155.2,1.083896,3.2656,0.5123,10.058,0.040680474
Wi02-2082,Red,10.99,6.72,0.1764,0.3811,1.38,0.03956,14.4,100.88,1.0814544,3.3072,0.545,10.152,0.050654828
Wi02-2083,Red,17.99,5.76,0.2058,0.3502,1.84,0.03864,56.7,119.31,1.0796668,3.5776,0.4578,10.716,0.027280055
Wi02-2084,Red,15.99,6.24,0.2744,0.3914,7.176,0.02852,48.6,209.52,1.0807786,3.1512,0.4578,12.314,0.030657662
Wi02-2085,Red,17.99,4.992,0.2352,0.1545,6.532,0.03956,28.8,129.98,1.0832202,3.3696,0.5232,9.306,0.034458454
Wi02-2086,Red,17.99,6.432,0.2156,0.3399,1.104,0.03312,32.4,83.42,1.0797322,3.224,0.8284,10.716,0.034215789
Wi02-2087,Red,11.99,6.528,0.4704,0.2575,1.84,0.06992,26.1,59.17,1.084877,3.4736,0.654,9.776,0.040061768
Wi02-2088,Red,9.99,7.2,0.3038,0.5253,13.616,0.03588,55.8,197.88,1.088038,3.1824,0.654,8.93,0.043476715
Wi02-2089,Red,18.99,7.2,0.4998,0.0206,1.564,0.07728,11.7,30.07,1.0849642,3.4944,0.5886,9.87,0.03482732
Wi02-2090,Red,15.99,8.448,0.441,0.4429,1.288,0.06992,10.8,20.37,1.0851059,3.3384,0.8175,9.588,0.028523938
Wi02-2091,Red,13.99,6.72,0.5684,0.2884,4.416,0.0782,10.8,66.93,1.0859997,3.4528,0.763,10.34,0.029953491
Wi02-2092,Red,24.99,6.816,0.3528,0.412,1.794,0.03036,23.4,114.46,1.0783806,3.328,0.4905,12.69,0.020755343
Wi02-2093,Red,9.99,6.24,0.5684,0,2.024,0.08832,2.7,12.61,1.0851713,3.7648,0.6758,10.81,0.056051241
Wi02-2094,Red,16.99,6.048,0.2058,0.3193,1.104,0.03956,27,113.49,1.0808222,3.6296,0.7412,10.34,0.026115797
Wi02-2095,Red,18.99,10.656,0.3038,0.5047,2.484,0.08648,14.4,45.59,1.088474,3.2448,1.1118,9.964,0.023929483
Wi02-2096,Red,14.99,5.856,0.4508,0.3296,5.704,0.04876,9,91.18,1.0849533,3.484,0.5123,9.494,0.050008866
Wi02-2097,Red,12.99,7.872,0.8673,0.206,1.288,0.07912,6.3,30.07,1.084114,3.2344,0.5014,9.4,0.038003897
Wi02-2098,Red,19.99,6.912,0.2254,0.4017,1.38,0.04876,23.4,102.82,1.0809094,3.3072,0.5123,10.434,0.028894977
Wi02-2099,Red,15.99,7.488,0.5292,0.2678,1.84,0.08096,20.7,46.56,1.087929,3.5464,0.8066,8.648,0.028708559
Wi02-2100,Red,20.99,5.472,0.2597,0.2884,6.348,0.03312,41.4,145.5,1.0823591,3.4944,0.4796,10.152,0.022838825
Wi02-2101,Red,15.99,7.296,0.7644,0,1.564,0.06992,29.7,43.65,1.0857708,3.4424,0.6758,10.058,0.033620226
Wi02-2102,Red,18.99,6.816,0.196,0.3193,6.302,0.04876,28.8,204.67,1.0854983,3.4424,0.6431,9.776,0.035840426
Wi02-2103,Red,10.99,6.144,0.2842,0.2884,10.212,0.05796,59.4,163.93,1.087057,3.0056,0.6213,8.46,0.05313368
Wi02-2104,Red,16.99,6.624,0.2058,0.3399,1.288,0.05152,31.5,131.92,1.083242,3.7752,0.8502,9.682,0.030967074
Wi02-2105,Red,18.99,8.544,0.3724,0.412,2.024,0.06256,10.8,27.16,1.0843974,3.4008,0.8175,11.844,0.022773148
Wi02-2106,Red,35.99,6.816,0.2548,0.3193,2.024,0.04048,26.1,124.16,1.083133,3.4736,0.6976,10.246,0.017144612
Wi02-2107,Red,24.99,5.568,0.2548,0.2987,0.92,0.03864,31.5,97.97,1.0795796,3.4944,0.5232,10.716,0.022642643
Wi02-2108,Red,15.99,6.048,0.245,0.5459,1.656,0.01932,36.9,97.97,1.07835335,3.3176,0.3379,12.22,0.031071252
Wi02-2109,Red,11.99,8.256,0.3724,0.3708,2.76,0.07452,27,115.43,1.08673,3.328,0.6104,8.836,0.037583581
Wi02-2110,Red,11.99,7.008,0.3136,0.2987,1.38,0.03496,28.8,139.68,1.0823264,3.328,0.5995,10.152,0.049796288
Wi02-2111,Red,19.99,10.08,0.4998,0.6592,2.208,0.09844,5.4,14.55,1.087057,3.2136,0.7194,11.092,0.024142661
Wi02-2112,Red,20.99,7.68,0.2254,0.3605,8.464,0.04048,47.7,180.42,1.08673,3.2136,0.6104,8.93,0.02385905
Wi02-2113,Red,18.99,5.664,0.5978,0.0824,1.932,0.06532,14.4,23.28,1.0831984,3.7024,0.8393,10.434,0.02816
Wi02-2114,Red,12.99,8.544,0.8575,0.1339,3.174,0.08096,3.6,13.58,1.089346,3.5776,0.5668,10.81,0.051984877
Wi02-2115,Red,13.99,7.008,0.2352,0.4017,3.312,0.02208,31.5,112.52,1.082152,3.2968,0.5559,10.246,0.042625086
Wi02-2116,Red,13.99,6.528,0.1764,0.4738,1.288,0.05888,33.3,155.2,1.081716,3.5048,0.4905,10.434,0.049585063
Wi02-2117,Red,11.99,7.776,1.3034,0,1.656,0.07544,2.7,11.64,1.086076,3.6816,0.5232,10.246,0.037583581
Wi02-2118,Red,17.99,6.144,0.1568,0.2884,2.024,0.03864,29.7,90.21,1.080626,3.4424,0.4687,10.434,0.029953491
Wi02-2119,Red,10.99,5.568,0.2156,0.309,1.012,0.04324,32.4,127.07,1.08128,3.3904,0.4905,9.776,0.045627819
Wi02-2120,Red,20.99,6.528,0.2156,0.3605,5.06,0.03956,18.9,110.58,1.083242,3.432,0.5777,10.058,0.021278201
Wi02-2121,Red,24.99,6.912,0.3528,0.4738,1.932,0.06808,21.6,42.68,1.0849206,3.536,0.9265,10.34,0.022131683
Wi02-2122,Red,11.99,6.144,0.2254,0.3605,9.476,0.03864,48.6,135.8,1.086403,3.3592,0.5123,8.648,0.051535766
Wi02-2123,Red,18.99,7.008,0.1666,0.2369,5.796,0.04692,31.5,232.8,1.085967,3.4944,0.5886,9.4,0.028708559
Wi02-2124,Red,14.99,7.68,0.3724,0.0618,1.656,0.07176,10.8,47.53,1.0859125,3.5048,0.5668,9.306,0.035970164
Wi02-2125,Red,22.99,6.432,0.3038,0.3193,4.508,0.02852,18,146.47,1.081934,3.4944,0.8938,11.28,0.026035503
Wi02-2126,Red,10.99,6.624,0.6174,0.3399,6.164,0.2162,59.4,111.55,1.0876783,3.3488,0.6104,8.93,0.038003897
Wi02-2127,Red,34.99,4.224,0.3136,0.4017,3.956,0.0276,27.9,123.19,1.0780536,3.5984,0.3924,12.032,0.018944483
Wi02-2128,Red,9.99,6.432,0.245,0.2369,6.624,0.03496,54.9,213.4,1.084768,3.2656,0.3815,8.93,0.045075317
Wi02-2129,Red,19.99,7.2,0.1274,0.3914,1.012,0.02116,37.8,100.88,1.0803208,3.4112,0.5777,11.092,0.028070104
Wi02-2130,Red,10.99,6.336,0.4312,0.1545,1.932,0.06992,19.8,51.41,1.085313,3.4528,0.6758,8.742,0.044893378
Wi02-2131,Red,14.99,4.704,0.3283,0.1442,1.196,0.03312,62.1,162.96,1.0814108,3.6088,0.5014,9.83866667,0.041153957
Wi02-2132,Red,13.99,10.368,0.3136,0.4532,1.472,0.05796,14.4,35.89,1.088365,3.3488,0.8502,9.4,0.03482732
Wi02-2133,Red,13.99,6.816,0.294,0.3708,6.256,0.0506,40.05,226.98,1.086948,3.6296,0.6976,9.588,0.034580755
Wi02-2134,Red,14.99,5.568,0.2646,0.412,1.104,0.06992,42.3,126.1,1.0811165,3.2552,0.4905,9.682,0.034458454
Wi02-2135,Red,9.99,11.136,0.4606,0.4532,1.472,0.13524,32.4,49.47,1.0882124,3.5152,0.9374,9.306,0.059769291
Wi02-2136,Red,19.99,7.296,0.3724,0.2884,3.864,0.02668,6.3,108.64,1.079754,3.12,0.4469,11.844,0.033856571
Wi02-2137,Red,19.99,7.296,0.3038,0.2781,8.096,0.01932,51.3,151.32,1.0839178,3.2032,0.4142,10.34,0.020812482
Wi02-2138,Red,19.99,6.72,0.196,0.3914,7.452,0.046,37.8,167.81,1.0854765,3.432,0.5886,9.212,0.035970164
Wi02-2139,Red,16.99,6.24,0.196,0.515,16.652,0.04968,45,214.37,1.0893569,3.0576,0.6976,8.272,0.028250329
Wi02-2140,Red,14.99,7.776,0.196,0.2884,0.828,0.02116,44.1,84.39,1.0797758,3.0368,0.3924,10.434,0.029083218
Wi02-2141,Red,7.99,8.832,0.5096,1.03,3.128,0.5612,28.8,66.93,1.089564,2.8496,2.18,8.836,0.089795918
Wi02-2142,Red,20.99,5.856,0.294,0.309,1.932,0.02852,45,158.11,1.078555,3.5256,0.4687,11.938,0.019765829
Wi02-2143,Red,18.99,6.336,0.3038,0.2884,1.288,0.0322,25.2,103.79,1.0773124,3.12,0.436,12.408,0.029083218
Wi02-2144,Red,9.99,6.912,0.392,0.6386,9.936,0.03772,63,183.33,1.087384,3.2032,0.5341,8.084,0.069792968
Wi02-2145,Red,19.99,6.72,0.2352,0.309,3.864,0.0368,36.9,206.61,1.082043,3.4112,0.5341,11.092,0.028432295
Wi02-2146,Red,13.99,5.376,0.8967,0,1.932,0.03772,15.3,75.66,1.0828714,3.8272,0.7957,10.716,0.042291426
Wi02-2147,Red,16.99,9.12,0.3626,0.5356,1.84,0.08096,10.8,49.47,1.0857817,3.4216,0.6322,10.434,0.035076531
Wi02-2148,Red,10.99,6.336,0.7644,0.515,1.38,0.0414,27,129.01,1.0802336,3.38,0.5232,10.998,0.052439885
Wi02-2149,Red,13.99,6.24,0.2352,0.3914,0.92,0.02484,27.9,87.3,1.0782934,3.3696,0.3924,11.562,0.034095417
Wi02-2150,Red,18.99,6.144,0.2744,0.2884,2.76,0.0368,17.1,95.06,1.0814544,3.38,0.5123,10.434,0.026688406
Wi02-2151,Red,14.99,6.336,0.2058,0.2987,1.656,0.02392,31.5,124.16,1.0810947,3.5048,0.5232,10.528,0.032586703
Wi02-2152,Red,14.99,6.624,0.3332,0.7622,10.304,0.06348,39.6,145.5,1.086512,3.12,0.8829,8.648,0.037583581
Wi02-2153,Red,14.99,6.144,0.1274,0.2884,0.828,0.0414,28.8,84.39,1.0810075,3.6088,0.5668,10.528,0.029369046
